CropType,CropCode,CropDays,SoilMoisture,temperature,Humidity,Irrigation
Wheat,0001,117,850,25,32,1
Wheat,0001,119,670,35,45,0
Wheat,0001,121,990,34,26,1
Wheat,0001,125,300,32,44,0
Wheat,0001,132,600,22,21,0
Wheat,0001,132,800,33,31,0
Wheat,0001,140,400,23,27,0
Wheat,0001,145,667,24,34,0
Wheat,0001,156,880,34,33,0
Wheat,0001,160,980,23,22,0
Wheat,0001,165,775,32,21,0
Wheat,0001,166,832,33,32,0
Wheat,0001,170,677,32,45,0
Groundnuts,0010,1,580,23,56,1
Groundnuts,0010,3,189,24,50,0
Groundnuts,0010,5,345,21,55,0
Groundnuts,0010,7,653,20,54,1
Groundnuts,0010,9,198,21,52,0
Groundnuts,0010,11,340,24,48,0
Groundnuts,0010,13,659,26,40,1
Groundnuts,0010,15,167,24,40,0
Groundnuts,0010,17,389,21,37,0
Groundnuts,0010,19,650,22,35,1
Groundnuts,0010,21,221,26,34,0
Groundnuts,0010,23,450,24,35,0
Groundnuts,0010,25,753,26,24,1
Groundnuts,0010,27,164,23,30,0
Groundnuts,0010,29,348,22,30,0
Groundnuts,0010,31,659,26,28,1
Groundnuts,0010,33,189,24,30,0
Groundnuts,0010,35,350,23,27,0
Groundnuts,0010,37,678,27,20,1
Groundnuts,0010,39,210,26,20,0
Groundnuts,0010,41,430,25,19,0
Groundnuts,0010,43,650,24,18,1
Groundnuts,0010,45,201,23,19,0
Groundnuts,0010,47,450,27,17,0
Groundnuts,0010,49,678,23,18,1
Groundnuts,0010,51,234,29,17,0
Groundnuts,0010,53,469,27,18,0
Groundnuts,0010,55,689,26,19,1
Groundnuts,0010,57,238,21,16,0
Groundnuts,0010,58,469,27,18,0
Groundnuts,0010,60,789,24,19,1
Groundnuts,0010,62,231,27,18,0
Groundnuts,0010,64,456,24,20,0
Groundnuts,0010,66,780,22,21,1
Groundnuts,0010,68,230,21,22,0
Groundnuts,0010,70,450,24,18,0
Groundnuts,0010,72,679,26,18,1
Groundnuts,0010,76,210,27,16,0
Groundnuts,0010,78,457,23,18,0
Groundnuts,0010,80,789,25,17,1
Groundnuts,0010,82,201,27,16,0
Groundnuts,0010,84,487,25,16,0
Groundnuts,0010,86,789,29,15,1
Groundnuts,0010,88,202,26,15,0
Groundnuts,0010,90,489,29,17,0
Groundnuts,0010,92,789,26,16,1
Groundnuts,0010,94,230,21,18,0
Groundnuts,0010,96,459,27,21,0
Groundnuts,0010,98,678,25,19,1
Groundnuts,0010,100,135,21,15,0
Garden Flowers,0011,1,400,24,70,1
Garden Flowers,0011,4,220,18,60,0
Garden Flowers,0011,5,448,19,65,1
Garden Flowers,0011,8,450,19,70,1
Garden Flowers,0011,10,222,20,60,0
Garden Flowers,0011,13,350,20,64,1
Garden Flowers,0011,15,221,20,65,0
Garden Flowers,0011,19,350,22,60,1
Garden Flowers,0011,21,143,18,70,0
Garden Flowers,0011,25,497,20,60,1
Garden Flowers,0011,27,220,18,70,0
Garden Flowers,0011,30,320,18,75,0
Garden Flowers,0011,34,465,21,65,1
Garden Flowers,0011,36,280,20,65,0
Garden Flowers,0011,40,540,21,60,1
Garden Flowers,0011,43,478,21,60,1
Garden Flowers,0011,45,321,19,70,0
Garden Flowers,0011,47,220,18,78,0
Garden Flowers,0011,50,320,18,80,0
Garden Flowers,0011,52,567,19,75,1
Garden Flowers,0011,55,220,15,80,0
Garden Flowers,0011,57,350,16,80,0
Garden Flowers,0011,60,675,19,75,1
Garden Flowers,0011,62,213,16,82,0
Garden Flowers,0011,65,548,18,85,1
Garden Flowers,0011,67,146,16,78,0
Garden Flowers,0011,70,543,20,68,1
Garden Flowers,0011,72,210,18,70,0
Garden Flowers,0011,75,600,21,65,1
Garden Flowers,0011,77,149,18,70,0
Garden Flowers,0011,80,589,21,68,1
Garden Flowers,0011,82,220,18,66,0
Garden Flowers,0011,85,349,16,85,0
Garden Flowers,0011,87,649,21,70,1
Garden Flowers,0011,89,179,18,78,0
Garden Flowers,0011,91,279,19,76,0
Garden Flowers,0011,94,547,21,74,1
Garden Flowers,0011,96,278,18,70,0
Garden Flowers,0011,99,560,20,67,1
Garden Flowers,0011,101,212,19,78,0
Garden Flowers,0011,103,320,15,80,0
Garden Flowers,0011,106,569,21,70,1
Garden Flowers,0011,108,200,19,69,0
Garden Flowers,0011,111,430,21,70,1
Garden Flowers,0011,114,220,18,65,0
Garden Flowers,0011,116,340,18,70,0
Garden Flowers,0011,120,560,20,68,0
Maize,0100,1,400,30,20,1
Maize,0100,4,450,31,21,1
Maize,0100,7,330,25,25,1
Maize,0100,10,380,25,21,1
Maize,0100,13,440,30,20,1
Maize,0100,16,550,32,25,1
Maize,0100,19,470,30,24,1
Maize,0100,22,480,29,22,1
Maize,0100,25,330,29,22,1
Maize,0100,28,430,30,24,1
Maize,0100,30,500,25,19,1
Maize,0100,31,150,26,17,0
Maize,0100,33,550,27,23,1
Maize,0100,35,450,27,21,1
Maize,0100,37,220,24,34,0
Maize,0100,39,440,34,19,1
Maize,0100,41,339,30,19,1
Maize,0100,43,130,20,35,0
Maize,0100,44,220,20,35,0
Maize,0100,46,340,34,31,1
Maize,0100,48,350,35,20,1
Maize,0100,50,220,29,35,0
Maize,0100,52,350,34,19,1
Maize,0100,54,225,25,35,0
Maize,0100,56,456,31,34,1
Maize,0100,58,220,25,45,0
Maize,0100,60,220,24,46,0
Maize,0100,63,450,29,34,1
Maize,0100,65,330,30,35,0
Maize,0100,67,220,29,45,0
Maize,0100,70,560,36,20,1
Maize,0100,72,450,30,22,1
Maize,0100,74,220,26,35,0
Maize,0100,76,239,25,40,0
Maize,0100,79,660,39,18,1
Maize,0100,81,230,25,19,0
Maize,0100,83,449,30,19,1
Maize,0100,85,235,29,34,0
Maize,0100,88,440,33,20,1
Maize,0100,90,358,30,19,1
Maize,0100,92,220,29,32,0
Maize,0100,94,432,33,19,1
Maize,0100,96,220,263,12,0
Maize,0100,98,210,25,14,0
Maize,0100,100,347,32,19,1
Paddy,0101,1,300,30,17,1
Paddy,0101,3,400,33,16,1
Paddy,0101,4,150,32,16,0
Paddy,0101,6,425,28,14,1
Paddy,0101,7,250,22,19,0
Paddy,0101,9,350,25,14,1
Paddy,0101,10,147,26,13,0
Paddy,0101,12,460,33,15,1
Paddy,0101,13,200,25,25,0
Paddy,0101,15,555,30,18,1
Paddy,0101,16,149,29,27,0
Paddy,0101,18,560,30,25,1
Paddy,0101,19,230,20,16,0
Paddy,0101,21,650,35,12,1
Paddy,0101,22,350,40,11,1
Paddy,0101,24,250,26,25,0
Paddy,0101,25,222,26,24,0
Paddy,0101,27,495,40,12,1
Paddy,0101,28,400,40,12,1
Paddy,0101,30,236,27,30,0
Paddy,0101,31,120,26,30,0
Paddy,0101,33,554,34,12,1
Paddy,0101,34,222,33,12,0
Paddy,0101,36,600,32,15,1
Paddy,0101,37,210,32,14,0
Paddy,0101,40,660,32,14,1
Paddy,0101,42,400,41,12,1
Paddy,0101,44,120,25,34,0
Paddy,0101,47,450,35,12,1
Paddy,0101,50,660,35,14,1
Paddy,0101,51,130,35,15,0
Paddy,0101,54,700,42,33,1
Paddy,0101,56,230,32,14,0
Paddy,0101,59,730,42,14,1
Paddy,0101,61,250,29,26,0
Paddy,0101,64,669,30,24,1
Paddy,0101,66,400,29,19,1
Paddy,0101,70,690,30,20,1
Paddy,0101,72,260,25,40,0
Paddy,0101,75,760,31,14,1
Paddy,0101,77,480,30,34,1
Paddy,0101,79,250,25,45,0
Paddy,0101,81,400,33,20,1
Paddy,0101,83,250,25,34,0
Paddy,0101,86,655,28,21,1
Paddy,0101,88,229,25,34,0
Paddy,0101,90,250,25,45,0
Paddy,0101,93,400,25,25,1
Paddy,0101,95,230,27,29,0
Paddy,0101,98,330,29,34,1
Paddy,0101,100,350,26,36,1
Potato,0110,1,500,20,60,1
Potato,0110,3,178,20,68,0
Potato,0110,5,319,18,65,0
Potato,0110,7,550,18,68,1
Potato,0110,9,128,17,68,0
Potato,0110,11,321,16,66,0
Potato,0110,13,554,15,68,1
Potato,0110,15,189,18,64,0
Potato,0110,16,321,19,65,0
Potato,0110,18,550,21,60,1
Potato,0110,20,189,19,65,0
Potato,0110,22,287,15,70,0
Potato,0110,24,359,16,68,0
Potato,0110,26,538,18,68,1
Potato,0110,28,178,19,67,0
Potato,0110,30,230,18,65,0
Potato,0110,32,330,17,66,0
Potato,0110,34,410,16,69,0
Potato,0110,36,607,18,65,1
Potato,0110,38,167,19,67,0
Potato,0110,40,239,18,65,0
Potato,0110,42,330,16,67,0
Potato,0110,44,449,18,64,0
Potato,0110,46,653,17,65,1
Potato,0110,48,148,19,68,0
Potato,0110,50,239,17,65,0
Potato,0110,52,367,16,61,0
Potato,0110,54,459,15,68,0
Potato,0110,56,679,17,66,1
Potato,0110,58,136,16,68,0
Potato,0110,60,289,16,68,0
Potato,0110,62,430,15,65,0
Potato,0110,64,659,14,68,1
Potato,0110,66,149,18,65,0
Potato,0110,68,257,17,67,0
Potato,0110,70,430,19,65,0
Potato,0110,72,578,20,61,1
Potato,0110,74,159,17,65,0
Potato,0110,76,330,18,61,0
Potato,0110,76,459,17,68,0
Potato,0110,78,657,19,64,1
Potato,0110,80,167,17,66,0
Potato,0110,82,230,16,68,0
Potato,0110,84,389,15,67,0
Potato,0110,86,456,15,69,0
Potato,0110,88,657,18,65,1
Potato,0110,90,168,17,64,0
Potato,0110,92,269,17,64,0
Potato,0110,94,330,16,68,0
Potato,0110,96,430,18,65,0
Potato,0110,98,660,16,64,1
Potato,0110,100,146,17,62,0
Potato,0110,102,250,18,64,0
Potato,0110,104,450,19,62,0
Potato,0110,106,660,18,67,1
Potato,0110,108,189,21,65,0
Potato,0110,110,310,20,64,0
Potato,0110,112,467,19,63,0
Potato,0110,115,678,19,62,1
Sugarcane,0111,1,440,23,67,1
Sugarcane,0111,3,220,21,70,0
Sugarcane,0111,5,300,19,80,0
Sugarcane,0111,7,560,18,70,1
Sugarcane,0111,9,146,16,72,0
Sugarcane,0111,11,286,18,68,0
Sugarcane,0111,13,540,16,75,1
Sugarcane,0111,15,149,18,70,0
Sugarcane,0111,17,230,19,70,0
Sugarcane,0111,19,350,15,80,0
Sugarcane,0111,21,550,19,70,1
Sugarcane,0111,23,159,18,65,0
Sugarcane,0111,25,330,18,70,0
Sugarcane,0111,27,550,20,65,1
Sugarcane,0111,29,186,18,79,0
Sugarcane,0111,31,230,16,70,0
Sugarcane,0111,33,350,15,80,0
Sugarcane,0111,35,550,17,78,1
Sugarcane,0111,37,157,18,70,0
Sugarcane,0111,39,240,16,70,0
Sugarcane,0111,41,330,15,80,0
Sugarcane,0111,43,560,20,80,1
Sugarcane,0111,45,129,18,70,0
Sugarcane,0111,47,210,17,70,0
Sugarcane,0111,49,349,18,65,0
Sugarcane,0111,51,550,19,65,1
Sugarcane,0111,52,139,18,70,0
Sugarcane,0111,54,222,17,70,0
Sugarcane,0111,56,339,18,69,0
Sugarcane,0111,58,540,20,65,1
Sugarcane,0111,60,134,19,60,0
Sugarcane,0111,62,230,17,68,0
Sugarcane,0111,64,320,16,70,0
Sugarcane,0111,66,459,19,65,1
Sugarcane,0111,68,139,18,85,0
Sugarcane,0111,70,239,17,80,0
Sugarcane,0111,72,330,19,70,0
Sugarcane,0111,74,469,18,71,1
Sugarcane,0111,76,128,16,80,0
Sugarcane,0111,78,230,17,76,0
Sugarcane,0111,80,330,16,71,0
Sugarcane,0111,82,469,21,65,1
Sugarcane,0111,84,130,17,68,0
Sugarcane,0111,86,440,21,70,1
Sugarcane,0111,88,139,21,68,0
Sugarcane,0111,90,320,22,68,0
Sugarcane,0111,92,450,22,65,1
Sugarcane,0111,94,179,21,65,0
Sugarcane,0111,96,230,19,67,0
Sugarcane,0111,98,330,21,65,0
Sugarcane,0111,100,530,19,69,1
Sugarcane,0111,102,130,20,64,0
Sugarcane,0111,104,330,22,60,0
Sugarcane,0111,106,629,24,59,1
Sugarcane,0111,108,198,21,60,0
Sugarcane,0111,110,370,22,58,0
Sugarcane,0111,112,670,24,55,1
Sugarcane,0111,114,199,25,53,0
Sugarcane,0111,116,356,25,52,0
Sugarcane,0111,118,630,26,52,1
Sugarcane,0111,120,189,25,50,0
Sugarcane,0111,122,367,26,48,0
Sugarcane,0111,124,623,28,45,1
Sugarcane,0111,126,212,30,46,0
Sugarcane,0111,128,458,28,40,0
Sugarcane,0111,130,657,27,48,1
Sugarcane,0111,132,211,26,46,0
Sugarcane,0111,134,478,28,45,0
Sugarcane,0111,136,657,29,46,1
Sugarcane,0111,138,221,29,45,0
Sugarcane,0111,140,439,31,40,0
Sugarcane,0111,142,689,32,38,1
Sugarcane,0111,144,210,30,38,0
Sugarcane,0111,146,459,29,35,0
Sugarcane,0111,148,710,31,34,1
Sugarcane,0111,150,222,31,32,0
Sugarcane,0111,152,456,30,25,0
Sugarcane,0111,154,678,32,28,1
Sugarcane,0111,156,189,28,35,0
Sugarcane,0111,158,279,26,36,0
Sugarcane,0111,160,450,28,34,0
Sugarcane,0111,162,752,32,28,1
Sugarcane,0111,164,165,34,21,0
Sugarcane,0111,168,457,34,20,0
Sugarcane,0111,170,765,31,19,1
Sugarcane,0111,172,128,30,29,0
Sugarcane,0111,174,458,32,21,0
Sugarcane,0111,178,678,31,19,1
Sugarcane,0111,180,169,30,19,0
Sugarcane,0111,182,450,31,17,0
Sugarcane,0111,184,867,35,15,1
Sugarcane,0111,186,178,30,19,0
Sugarcane,0111,188,239,27,20,0
Sugarcane,0111,190,450,26,24,0
Sugarcane,0111,192,679,25,21,1
Sugarcane,0111,198,178,21,24,0
Sugarcane,0111,200,267,20,26,0
Sugarcane,0111,202,389,17,28,0
Sugarcane,0111,204,786,20,23,1
Sugarcane,0111,206,167,20,25,0
Sugarcane,0111,208,359,21,28,0
Sugarcane,0111,210,611,22,19,1
Coffee,1000,1,540,24,30,1
Coffee,1000,3,189,22,29,0
Coffee,1000,5,341,23,28,0
Coffee,1000,7,569,21,20,1
Coffee,1000,9,211,23,20,0
Coffee,1000,11,456,27,16,1
Coffee,1000,13,220,26,15,0
Coffee,1000,15,438,24,17,1
Coffee,1000,17,222,21,16,0
Coffee,1000,19,456,23,15,1
Coffee,1000,21,211,25,16,0
Coffee,1000,23,450,21,17,1
Coffee,1000,25,210,24,18,0
Coffee,1000,27,450,26,15,1
Coffee,1000,29,211,27,16,0
Coffee,1000,31,489,25,16,1
Coffee,1000,33,289,27,15,0
Coffee,1000,35,568,28,15,1
Coffee,1000,37,299,28,14,0
Coffee,1000,39,598,27,17,1
Coffee,1000,41,267,26,16,0
Coffee,1000,43,578,25,15,1
Coffee,1000,45,221,23,17,0
Coffee,1000,47,459,26,19,1
Coffee,1000,49,216,22,18,0
Coffee,1000,51,340,20,19,0
Coffee,1000,53,678,24,16,1
Coffee,1000,55,221,23,18,0
Coffee,1000,57,568,25,17,1
Coffee,1000,59,220,22,14,0
Coffee,1000,61,329,20,19,0
Coffee,1000,63,689,22,19,1
Coffee,1000,65,211,24,16,0
Coffee,1000,67,350,26,19,0
Coffee,1000,69,678,27,16,1
Coffee,1000,71,201,25,17,0
Coffee,1000,73,348,24,15,0
Coffee,1000,75,648,23,16,1
Coffee,1000,77,230,22,18,0
Coffee,1000,79,369,21,17,0
Coffee,1000,81,643,22,15,1
Coffee,1000,83,201,23,18,0
Coffee,1000,85,398,22,17,0
Coffee,1000,87,632,24,18,1
Coffee,1000,89,210,21,16,0
Coffee,1000,91,310,23,18,0
Coffee,1000,93,675,25,19,1
Coffee,1000,95,210,23,17,0
Coffee,1000,97,398,25,18,0
Coffee,1000,99,678,24,18,1
Coffee,1000,101,201,21,14,0
Pulse,1001,1,450,30,29,1
Pulse,1001,3,330,29,23,0
Pulse,1001,6,500,30,19,1
Pulse,1001,8,320,28,20,0
Pulse,1001,11,547,30,23,1
Pulse,1001,13,329,28,29,0
Pulse,1001,16,650,30,18,1
Pulse,1001,18,350,26,19,0
Pulse,1001,22,700,25,19,1
Pulse,1001,24,349,28,34,0
Pulse,1001,27,495,30,35,1
Pulse,1001,29,349,28,21,0
Pulse,1001,32,532,30,26,1
Pulse,1001,36,498,30,24,1
Pulse,1001,38,321,27,29,0
Pulse,1001,40,400,25,35,0
Pulse,1001,42,543,30,19,1
Pulse,1001,45,569,30,19,1
